summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
custom navigation toolbar settings not getting saved        ,Firefox,Toolbars and Customi        ,2022-10-10    ,custom navigation toolbar setting getting saved ,0,bar,bar,bar
small window of time before wifi is connected that location bar will not react        ,Firefox,Address Bar        ,2022-10-11    ,small window time wifi connected location bar react ,1,bar,"window, bar",bar
yahoo att webmail inbox and preview display is missing the vertical scrollbar in free account but not in yahoo plus account.        ,Firefox,General        ,2022-10-10    ,yahoo att webmail inbox preview display missing vertical scrollbar free account yahoo plus account ,0,bar,bar,bar
caps .sites entry is discarded if tcp port is in the address bar        ,Firefox,Security        ,2022-10-10    ,cap site entry discarded tcp port address bar ,0,"add, bar",bar,bar
displays way too much of the title bar color        ,Firefox,General        ,2022-10-10    ,display way much title bar color ,0,bar,bar,bar
address bar loses focus when autocomplete no longer matches typed input.        ,Firefox,General        ,2022-10-10    ,address bar loses focus autocomplete longer match typed input ,0,"add, bar",bar,bar
the new grey symbols in the toolbar can only be a bug i'm sure. please change.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,new grey symbol toolbar bug im sure please change ,0,bar,bar,bar
"bookmarks that fit on the bookmarks toolbar, do not fit after resize        ",Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark fit bookmark toolbar fit resize ,0,"bookmark, bar","bar, size",bar
customized toolbar components moved when updating from 4.0 to 4.0.1        ,Firefox,Toolbars and Customi        ,2022-10-10    ,customized toolbar component moved updating 40 401 ,0,bar,bar,bar
bookmark search in sidebar: support enter and down-arrow keys for smoother workflow        ,Firefox,Keyboard Navigation        ,2022-10-10    ,bookmark search sidebar support enter downarrow key smoother workflow ,0,"bookmark, bar, search, work",bar,bar
"page navigation page up/down nonfunctional,down arrow works not up. scroll bar ok everything works  in other browsers, opera, ie, chrome        ",Firefox,Keyboard Navigation        ,2022-10-10    ,page navigation page updown nonfunctionaldown arrow work scroll bar ok everything work browser opera ie chrome ,0,"page, bar, work","bar, browser",bar
show pocket entries in awesome bar like bookmark        ,Firefox,Pocket        ,2022-10-11    ,show pocket entry awesome bar like bookmark ,0,"bookmark, bar, show",bar,bar
cannot resize address bar after customizing        ,Firefox,Toolbars and Customi        ,2022-10-10    ,cannot resize address bar customizing ,0,"add, bar","bar, size",bar
hard to move (drag) wide items like url bar in customize mode due to their size (change algorithm for determining drop point for wide widgets?)        ,Firefox,Toolbars and Customi        ,2022-10-17    ,hard move drag wide item like url bar customize mode due size change algorithm determining drop point wide widget ,0,bar,"bar, size",bar
text artifacts remain in location bar after character deleted        ,Firefox,General        ,2022-10-10    ,text artifact remain location bar character deleted ,0,bar,bar,bar
browser becomes unusable when all bars and toolbars are deselected        ,Firefox,Toolbars and Customi        ,2022-10-10    ,browser becomes unusable bar toolbars deselected ,0,bar,"bar, browser",bar
turn on the clipboard bar on by default.        ,Firefox for iOS,Browser        ,2022-10-11    ,turn clipboard bar default ,0,bar,bar,bar
i am unable to get rid of the search bar in my firefox no matter what i attempt        ,Firefox,Toolbars and Customi        ,2022-10-10    ,unable get rid search bar firefox matter attempt ,0,"bar, search",bar,bar
blank space on toolbars        ,Firefox,General        ,2022-10-10    ,blank space toolbars ,0,bar,bar,bar
sidebar-headers need adjustment to the new theme        ,Firefox,Theme        ,2022-10-10    ,sidebarheaders need adjustment new theme ,0,bar,bar,bar
"when clicking ""show sidebars"", resulting in not smooth page content shifting then resizing        ",Firefox,General        ,2022-10-11    ,clicking show sidebar resulting smooth page content shifting resizing ,0,"page, bar, show",bar,bar
problem with the toolbar        ,Firefox,General        ,2022-10-10    ,problem toolbar ,0,bar,bar,bar
"location bar ""eyeglass"" icon stays in location bar after editing the url        ",Firefox,Address Bar        ,2022-10-11    ,location bar eyeglass icon stay location bar editing url ,0,bar,bar,bar
firefox's windows taskbar icon's blue highlight flickers when scrolling a select drop-down list        ,Core,Widget: Win32        ,2022-10-11    ,firefoxs window taskbar icon blue highlight flicker scrolling select dropdown list ,1,bar,"window, bar",bar
the bookmark toolbar drop indicator jumps to the end when dragging to a position immediately between two bookmarks        ,Firefox,Theme        ,2022-10-11    ,bookmark toolbar drop indicator jump end dragging position immediately two bookmark ,0,"bookmark, bar",bar,bar
the bookmark toolbar drop indicator could be moved down a couple pixels        ,Firefox,Theme        ,2022-10-11    ,bookmark toolbar drop indicator could moved couple pixel ,0,"bookmark, bar",bar,bar
failed to add bookmark to toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,failed add bookmark toolbar ,0,"add, bookmark, bar",bar,bar
integrate toolbar into toolbars        ,Firefox,General        ,2022-10-10    ,integrate toolbar toolbars ,0,bar,bar,bar
no title bar visible in full screen view        ,Firefox,General        ,2022-10-10    ,title bar visible full screen view ,0,bar,"bar, screen",bar
autostarted firefox does not drop down address bar and does not search it for typed text        ,Firefox,General        ,2022-10-10    ,autostarted firefox drop address bar search typed text ,0,"add, bar, search",bar,bar
[qac generated] anonymous navigation can't be started from taskbar (windows 7 - 32bit)        ,Firefox,Shell Integration        ,2022-10-10    ,qac generated anonymous navigation cant started taskbar window 7 32bit ,1,bar,"window, bar",bar
pop-up option bar is displayed for sites that are not in the allowed list        ,Firefox,General        ,2022-10-10    ,popup option bar displayed site allowed list ,0,"bar, option",bar,bar
increase url bar and search bar font size        ,Firefox,Theme        ,2022-10-10    ,increase url bar search bar font size ,0,"bar, search","bar, size",bar
can't enter any text in the address bar or in the search bar.        ,Firefox,General        ,2022-10-10    ,cant enter text address bar search bar ,0,"add, bar, search",bar,bar
horizontal line appears on mouse click in title bar        ,Firefox,General        ,2022-10-10    ,horizontal line appears mouse click title bar ,0,bar,bar,bar
title bar doesn't honor text colour when maximized.        ,Firefox,General        ,2022-10-10    ,title bar doesnt honor text colour maximized ,0,bar,bar,bar
stop using the :not(:target) selector for download toolbar icons        ,Firefox,Downloads Panel        ,2022-10-11    ,stop using nottarget selector download toolbar icon ,0,bar,bar,bar
sidebar doesn't show up on the customize page        ,Firefox,Toolbars and Customi        ,2022-10-11    ,sidebar doesnt show customize page ,0,"page, bar, show",bar,bar
bad positionning on module bar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bad positionning module bar ,0,bar,bar,bar
browser.taskbar.previews.enable reset to true after update        ,Firefox,Settings UI        ,2022-10-10    ,browsertaskbarpreviewsenable reset true update ,0,bar,"bar, browser",bar
toolbar icons very big when firefox is initially loaded        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar icon big firefox initially loaded ,0,bar,bar,bar
bookmarks sidebar should support showing a single folder        ,Firefox,Bookmarks & History        ,2022-10-11    ,bookmark sidebar support showing single folder ,0,"bookmark, bar, show",bar,bar
add test for icons in the locationbar        ,Firefox,Address Bar        ,2022-10-11    ,add test icon locationbar ,0,"add, bar, test",bar,bar
strange shape on top of the scroll bar        ,Firefox,General        ,2022-10-10    ,strange shape top scroll bar ,0,bar,bar,bar
firefox should not use only registry keys for determining the taskbar grouping id on windows 7        ,Core,Widget: Win32        ,2022-10-10    ,firefox use registry key determining taskbar grouping id window 7 ,1,bar,"window, bar",bar
"tapping on location bar should show ""paste and go"" or ""paste and search""        ",Firefox for iOS,General        ,2022-10-11    ,tapping location bar show paste go paste search ,0,"bar, show, search",bar,bar
add a probe to measure the number of awesomebar results shown        ,Firefox,Address Bar        ,2020-09-24    ,add probe measure number awesomebar result shown ,0,"add, bar, show",bar,bar
"firefox ""remembers"" scrollbar position of non-""things that scroll natively"" elements after page refresh        ",Firefox,General        ,2022-10-10    ,firefox remembers scrollbar position nonthings scroll natively element page refresh ,0,"page, bar",bar,bar
"when requesting https file download from location bar, not warned if file is delivered over http instead        ",Firefox,Downloads Panel        ,2022-10-11    ,requesting http file download location bar warned file delivered http instead ,0,"file, bar",bar,bar
location bar suggestions not having a title look bad        ,Firefox,Address Bar        ,2022-10-11    ,location bar suggestion title look bad ,0,bar,bar,bar
load event fires on a closed sidebar during session restore        ,Firefox,Session Restore        ,2022-10-10    ,load event fire closed sidebar session restore ,0,bar,"bar, close",bar
pasted text does not match text copied from location bar when `browser.urlbar.trimurls` is set to `true`        ,Firefox,General        ,2022-10-10    ,pasted text match text copied location bar browserurlbartrimurls set true ,0,bar,"bar, browser",bar
the dragstart event cannot be prevented when using internal scroll bars making a bad user experience on internal scroll bars        ,Firefox,General        ,2022-10-10    ,dragstart event cannot prevented using internal scroll bar making bad user experience internal scroll bar ,0,bar,bar,bar
⇧↑ shift + up in the awesomebar highlights bottom result rather than inputted text        ,Firefox,Keyboard Navigation        ,2022-10-10    , shift awesomebar highlight bottom result rather inputted text ,0,bar,bar,bar
figure out requirements to release top websites completion in the awesomebar        ,Firefox,Address Bar        ,2022-10-11    ,figure requirement release top website completion awesomebar ,0,bar,bar,bar
add any missing search bar telemetry probes        ,Firefox,Search        ,2020-09-24    ,add missing search bar telemetry probe ,0,"add, bar, search",bar,bar
add a probe for the remembered suggestions in search bar        ,Firefox,Search        ,2020-09-24    ,add probe remembered suggestion search bar ,0,"add, bar, search",bar,bar
add a probe to measure location bar query length        ,Firefox,Address Bar        ,2020-09-24    ,add probe measure location bar query length ,0,"add, bar",bar,bar
[meta] add more telemetry probes for user interactions with the search and location bars        ,Firefox,Search        ,2020-09-24    ,meta add telemetry probe user interaction search location bar ,0,"add, bar, search",bar,bar
"download progress bar isn't correctly update when download is paused, ""for all cases""        ",Firefox,Downloads Panel        ,2022-10-11    ,download progress bar isnt correctly update download paused case ,0,bar,bar,bar
searching for a single word string in the firefox awesomebar displays confusing notification (due to isp search hijacking)        ,Firefox,Address Bar        ,2022-10-11    ,searching single word string firefox awesomebar display confusing notification due isp search hijacking ,0,"bar, search",bar,bar
typeerror: gurlbar is null        ,Firefox,Private Browsing        ,2022-10-11    ,typeerror gurlbar null ,0,"bar, error",bar,bar
icons on navigation bar display inconsistently in size        ,Firefox,Toolbars and Customi        ,2022-10-10    ,icon navigation bar display inconsistently size ,0,bar,"bar, size",bar
1st found in 3.2 series version top bar minimise one bar gets hand for few min some time doest works at all so i have to close directly from taskmanger        ,Firefox,General        ,2022-10-10    ,1st found 32 series version top bar minimise one bar get hand min time doest work close directly taskmanger ,0,"bar, work","bar, close",bar
reader view toolbar is displayed on google.com page after specific steps.        ,Firefox for iOS,Reader View        ,2022-10-11    ,reader view toolbar displayed googlecom page specific step ,0,"page, bar",bar,bar
don't mix insecure links in awsomebar results when user started with 'https://'        ,Firefox,Security        ,2022-10-10    ,dont mix insecure link awsomebar result user started http ,0,bar,bar,bar
fullscreen topbar still sticky after firefox 4 update        ,Firefox,Toolbars and Customi        ,2022-10-10    ,fullscreen topbar still sticky firefox 4 update ,0,bar,"bar, screen",bar
firefox covers/blocks the appearance of auto-hiding taskbar (win10)        ,Core,Widget: Win32        ,2022-10-11    ,firefox coversblocks appearance autohiding taskbar win10 ,0,bar,"10, bar",bar
"window minimizes after pressing ""restore"" in ""well this is embarrassing"" screen        ",Firefox,General        ,2022-10-10    ,window minimizes pressing restore well embarrassing screen ,1,bar,"window, bar, screen",bar
firefox draws failures to the windows task bar with hardware acceleration        ,Core,Graphics        ,2022-10-10    ,firefox draw failure window task bar hardware acceleration ,1,bar,"window, bar",bar
intermittent: saving bbcamerica.com bbc.com cnn.com and abv.bg to the toolbar sometimes get lost or moved to the bookmarks folder        ,Firefox,Migration        ,2022-10-11    ,intermittent saving bbcamericacom bbccom cnncom abvbg toolbar sometimes get lost moved bookmark folder ,0,"bookmark, bar",bar,bar
system toolbar freezes in 5        ,Firefox,General        ,2022-10-10    ,system toolbar freeze 5 ,0,bar,bar,bar
bookmarks toolbar behaves erratically if search toolbar is also turned on and located on the same line        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar behaves erratically search toolbar also turned located line ,0,"bookmark, bar, search",bar,bar
cmd+/ shortcut for add on toolbar on germany qwertz keyboard layout has double action        ,Firefox,General        ,2022-10-10    ,cmd shortcut add toolbar germany qwertz keyboard layout double action ,0,"add, bar",bar,bar
typing wrong url in address bar results in a senseless google search removing the typed url        ,Firefox,General        ,2022-10-10    ,typing wrong url address bar result senseless google search removing typed url ,0,"add, bar, search",bar,bar
scrolling via spacebar sometimes doesn't happen until next mouse movement event        ,Firefox,Keyboard Navigation        ,2022-10-10    ,scrolling via spacebar sometimes doesnt happen next mouse movement event ,0,bar,bar,bar
"excessive space between "" sidebar icon""  & ""view history sidebar""        ",Firefox,Bookmarks & History        ,2022-10-11    ,excessive space sidebar icon view history sidebar ,0,bar,bar,bar
"in full screen mode with animateup=2, toolbars hide when moving cursor off and back on toolbars        ",Firefox,Toolbars and Customi        ,2022-10-10    ,full screen mode animateup2 toolbars hide moving cursor back toolbars ,0,bar,"bar, screen",bar
search bar in aurora doesn't remember search engine option changes after sessions closed        ,Firefox,Toolbars and Customi        ,2022-10-10    ,search bar aurora doesnt remember search engine option change session closed ,0,"bar, search, option","bar, close",bar
popup blocker notification bar appears then immediately disappears        ,Firefox,General        ,2021-11-18    ,popup blocker notification bar appears immediately disappears ,0,bar,bar,bar
make it possible to resize sidebar smaller and wider        ,Firefox,General        ,2022-10-11    ,make possible resize sidebar smaller wider ,0,bar,"bar, size",bar
toolbar settings when changed on one window applied to all        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar setting changed one window applied ,1,bar,"window, bar",bar
add-on icons should be in the navbar by first paint        ,Firefox,Toolbars and Customi        ,2022-10-11    ,addon icon navbar first paint ,0,"add, bar",bar,bar
playing a youtube video on a secondary screen on macos 10.12.5 removes the status bar on the other screens while on firefox        ,Core,Widget: Cocoa        ,2022-10-11    ,playing youtube video secondary screen macos 10125 remove status bar screen firefox ,0,bar,"10, bar, screen",bar
"after resizing search bar, location and search bars in new window shift to the left        ",Firefox,General        ,2022-10-10    ,resizing search bar location search bar new window shift left ,1,"bar, search","window, bar",bar
call toolbariconcolor.inferfromtext when switching os themes        ,Firefox,Theme        ,2022-10-11    ,call toolbariconcolorinferfromtext switching o theme ,0,bar,bar,bar
investigate adding an animation to the sidebar        ,Firefox,Menus        ,2022-10-11    ,investigate adding animation sidebar ,0,"add, bar",bar,bar
awesome bar would be more clever with fuzzy matching of results        ,Firefox,Address Bar        ,2022-10-11    ,awesome bar would clever fuzzy matching result ,0,bar,bar,bar
narrow non-breaking space rendering poorly in title bar        ,Firefox,General        ,2022-10-10    ,narrow nonbreaking space rendering poorly title bar ,0,bar,bar,bar
add test for ctrl/accel/shift-clicking results in the urlbar        ,Firefox,Address Bar        ,2022-10-11    ,add test ctrlaccelshiftclicking result urlbar ,0,"add, bar, test",bar,bar
result screen is appearing before update bar finish        ,Firefox,General        ,2022-10-10    ,result screen appearing update bar finish ,0,bar,"bar, screen",bar
bookmarks-toolbar-items is not visible on aero background        ,Firefox,Theme        ,2022-10-10    ,bookmarkstoolbaritems visible aero background ,0,"bookmark, bar",bar,bar
hide the status bar when the user is typing        ,Firefox,Tabbed Browser        ,2020-08-04    ,hide status bar user typing ,0,bar,bar,bar
pulling a file to the address bar triggers security errors        ,Firefox,File Handling        ,2022-10-10    ,pulling file address bar trigger security error ,0,"file, add, bar, error",bar,bar
images/objects in the viewed webpage can be seen through top toolbars while scrolling.        ,Firefox,General        ,2022-10-10    ,imagesobjects viewed webpage seen top toolbars scrolling ,0,"page, bar",bar,bar
close/minimize bar gone        ,Firefox,General        ,2022-10-10    ,closeminimize bar gone ,0,bar,"bar, close",bar
merge titlebar into navbar & adressbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,merge titlebar navbar adressbar ,0,bar,bar,bar
"can't stop scrolling when ""confirm setting cookie"" dialog appears while using scrollbar        ",Firefox,General        ,2022-10-10    ,cant stop scrolling confirm setting cookie dialog appears using scrollbar ,0,bar,bar,bar
bookmarks toolbar collapsed with search field        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar collapsed search field ,0,"bookmark, bar, search",bar,bar
add visible feedback (on the statusbar?) when caret browsing is on        ,Firefox,General        ,2022-10-10    ,add visible feedback statusbar caret browsing ,0,"add, bar",bar,bar
"minimize sidebar, or resize freely        ",Firefox,Toolbars and Customi        ,2022-10-10    ,minimize sidebar resize freely ,0,bar,"bar, size",bar
allow to search multiple words and phrases in firefox find toolbar        ,Toolkit,Find Toolbar        ,2022-10-10    ,allow search multiple word phrase firefox find toolbar ,0,"bar, search",bar,bar
"toolbar disabled, no way to exit full screen (mac only)        ",Firefox,General        ,2022-10-10    ,toolbar disabled way exit full screen mac ,0,bar,"bar, screen",bar
"register mailto: links in history, useful for the awesomebar.        ",Firefox,File Handling        ,2022-10-10    ,register mailto link history useful awesomebar ,0,bar,bar,bar
toolbar customizations reset on extension update        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar customizations reset extension update ,0,bar,bar,bar
comment se débarrasser ou bloquer un site gênant comme http://lo.st/        ,Firefox,General        ,2022-10-10    ,comment se débarrasser ou bloquer un site gênant comme httplost ,0,bar,bar,bar
snackbar show animation looks odd (on master with stackviews)        ,Firefox for iOS,General        ,2022-10-11    ,snackbar show animation look odd master stackviews ,0,"bar, show",bar,bar
mac: command-period (cmd-. / command-.) toggles sidebar instead of canceling ongoing operation        ,Firefox,Keyboard Navigation        ,2022-10-11    ,mac commandperiod cmd command toggle sidebar instead canceling ongoing operation ,0,bar,bar,bar
keyboard shortcut: alt + d (select location bar) sometimes suddenly stops working        ,Firefox,Keyboard Navigation        ,2022-10-10    ,keyboard shortcut alt select location bar sometimes suddenly stop working ,0,"bar, work",bar,bar
no scroll bars on the window        ,Firefox,Settings UI        ,2022-10-10    ,scroll bar window ,1,bar,"window, bar",bar
firefox shouldn't put link of loading page in address bar if i'm typing in the address bar        ,Firefox,Address Bar        ,2022-10-11    ,firefox shouldnt put link loading page address bar im typing address bar ,0,"page, add, bar",bar,bar
the icon arrow-liked don't disappear from the bookmark side at bookmarks toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,icon arrowliked dont disappear bookmark side bookmark toolbar ,0,"bookmark, bar",bar,bar
"fullscreen mode display ""a bit of a bar"" even if no bar is to be displayed        ",Firefox,Toolbars and Customi        ,2022-10-10    ,fullscreen mode display bit bar even bar displayed ,0,bar,"bar, screen",bar
uri reserved characters []!'()* get decoded in the location bar but not re-encoded when the url is submitted        ,Firefox,Address Bar        ,2022-10-11    ,uri reserved character get decoded location bar reencoded url submitted ,0,bar,bar,bar
toolbars not there.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbars ,0,bar,bar,bar
toolbar jumbled can't read        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar jumbled cant read ,0,bar,bar,bar
the style of overlay sidebar hover state should align with preferences/add-ons        ,Firefox,Tours        ,2022-10-11    ,style overlay sidebar hover state align preferencesaddons ,0,"add, bar",bar,bar
the add ons page should use the mac os black bar for actions        ,Firefox,Theme        ,2022-10-10    ,add ons page use mac o black bar action ,0,"page, add, bar",bar,bar
cannot resize address bar and search bar with mouse drag when the search bar is enabled from options (without a restart)        ,Firefox,Toolbars and Customi        ,2022-10-11    ,cannot resize address bar search bar mouse drag search bar enabled option without restart ,0,"add, bar, search, option","bar, size",bar
"ui: add ability to add more search bar boxes to the top toolbar, possibly using the customize window        ",Firefox,Toolbars and Customi        ,2022-10-10    ,ui add ability add search bar box top toolbar possibly using customize window ,1,"add, bar, search","window, bar",bar
update sidebar favicon on page navigation        ,Firefox,General        ,2022-10-11    ,update sidebar favicon page navigation ,0,"page, bar",bar,bar
stupid user (me) behavior: option-clicking on e-mail address hangs in download bar        ,Firefox,Keyboard Navigation        ,2022-10-10    ,stupid user behavior optionclicking email address hang download bar ,0,"add, bar, option",bar,bar
"right-click a bookmark in the toolbar should provide a ""customize toolbar"" option        ",Firefox,Toolbars and Customi        ,2022-10-10    ,rightclick bookmark toolbar provide customize toolbar option ,0,"bookmark, bar, option",bar,bar
fx source docs: improve the sidebars scrolls        ,Developer Infrastruc,Firefox Source Docs:        ,2022-11-03    ,fx source doc improve sidebar scroll ,0,bar,bar,bar
remember sidebar position        ,Firefox,Bookmarks & History        ,2022-10-27    ,remember sidebar position ,0,bar,bar,bar
"add automated test for ""the items from the bookmarks toolbar can be sorted by name""        ",Firefox,Bookmarks & History        ,2022-10-11    ,add automated test item bookmark toolbar sorted name ,0,"add, bookmark, bar, test",bar,bar
"""toolkit::find toolbar"" is missing from the component drop-down list in the standard bug entry form for firefox        ",Bugzilla,Creating/Changing Bu        ,2021-09-09    ,toolkitfind toolbar missing component dropdown list standard bug entry form firefox ,0,bar,bar,bar
"offer a per site popup ""black list"" for hiding the yellow information / popup notification bar        ",Firefox,Settings UI        ,2022-10-10    ,offer per site popup black list hiding yellow information popup notification bar ,0,bar,bar,bar
"right-click on toolbar link: ""copy"" should be labelled ""copy link location""        ",Firefox,Toolbars and Customi        ,2022-10-10    ,rightclick toolbar link copy labelled copy link location ,0,bar,bar,bar
"navigation, bookmarks, and status bar cannot be displayed on new window        ",Firefox,Toolbars and Customi        ,2022-10-10    ,navigation bookmark status bar cannot displayed new window ,1,"bookmark, bar","window, bar",bar
add a toolbarname attribute to all toolbars        ,Firefox,Toolbars and Customi        ,2022-10-10    ,add toolbarname attribute toolbars ,0,"add, bar",bar,bar
moving bookmark and folder in bookmarks toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,moving bookmark folder bookmark toolbar ,0,"bookmark, bar",bar,bar
placestoolbar updatenodesvisibilitytimer should use promisedocumentflushed        ,Firefox,Bookmarks & History        ,2022-10-11    ,placestoolbar updatenodesvisibilitytimer use promisedocumentflushed ,0,bar,bar,bar
sidebar header font too light        ,Firefox,Theme        ,2022-10-11    ,sidebar header font light ,0,bar,bar,bar
present preloaded top urls in the address bar in a non-confusing way        ,Firefox,Address Bar        ,2022-10-11    ,present preloaded top url address bar nonconfusing way ,0,"add, bar",bar,bar
"dragging an icon from the desktop across the toolbars corrupts display, hangs firefox, many gtk_drag_get_data assertion failures        ",Firefox,Shell Integration        ,2022-10-10    ,dragging icon desktop across toolbars corrupts display hang firefox many gtkdraggetdata assertion failure ,0,bar,bar,bar
"navigation toolbar resizing causing 'jump', possibly by favicon        ",Firefox,Theme        ,2022-10-10    ,navigation toolbar resizing causing jump possibly favicon ,0,bar,bar,bar
using ctrl-+ to enlarge display fails to add scroll bars when content exceeds window size        ,Firefox,General        ,2022-10-10    ,using ctrl enlarge display fails add scroll bar content exceeds window size ,1,"add, bar","window, bar, size",bar
bookmark toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar ,0,"bookmark, bar",bar,bar
middle-clicking on scrollbar should start autoscroll even when autoscroll is disabled for middle-clicking elsewhere        ,Firefox,General        ,2022-10-10    ,middleclicking scrollbar start autoscroll even autoscroll disabled middleclicking elsewhere ,0,bar,bar,bar
support for safari web archive (.webarchive) format in firefox        ,Firefox,File Handling        ,2022-10-10    ,support safari web archive webarchive format firefox ,0,bar,bar,bar
toolbar backgound should be plain black instead of gray with dark high contrast theme        ,Firefox,Theme        ,2022-10-11    ,toolbar backgound plain black instead gray dark high contrast theme ,0,bar,bar,bar
firefox address bar dropdown is pressed - at-spi keyboard listeners do not work        ,Core,DOM: UI Events & Foc        ,2022-10-10    ,firefox address bar dropdown pressed atspi keyboard listener work ,0,"add, bar, work",bar,bar
method to easily to change the displayed order of toolbars        ,Firefox,Toolbars and Customi        ,2022-10-10    ,method easily change displayed order toolbars ,0,bar,bar,bar
useless horizontal scroll bar        ,Firefox,General        ,2022-10-10    ,useless horizontal scroll bar ,0,bar,bar,bar
password required popup window should appear in taskbar always        ,Firefox,Security        ,2021-11-25    ,password required popup window appear taskbar always ,1,bar,"window, bar",bar
"feature request: write ""english"" in address bar but ""cyrillic"" in web page        ",Firefox,General        ,2022-10-10    ,feature request write english address bar cyrillic web page ,0,"page, add, bar",bar,bar
link max-width attribute ignored when toolbars are active.        ,Firefox,General        ,2022-10-10    ,link maxwidth attribute ignored toolbars active ,0,bar,bar,bar
a block with a scrollbar that is continually increased in size that is at the bottom of it's scrollable text will cause the whole page to flicker        ,Firefox,General        ,2022-10-10    ,block scrollbar continually increased size bottom scrollable text cause whole page flicker ,0,"page, bar","bar, size",bar
convert _maybetogglebookmarktoolbarvisibility to use async places apis        ,Firefox,Migration        ,2022-10-11    ,convert maybetogglebookmarktoolbarvisibility use async place apis ,0,"bookmark, bar",bar,bar
"[ubuntu][search bar] ""change search settings"" is partially displayed if the window is on half of the screen        ",Firefox,Search        ,2021-02-26    ,ubuntusearch bar change search setting partially displayed window half screen ,1,"bar, search","window, bar, screen",bar
add a folder in the taskbar        ,Firefox,General        ,2022-10-10    ,add folder taskbar ,0,"add, bar",bar,bar
the content of a toolbar's new folder is not correctly displayed        ,Firefox,Toolbars and Customi        ,2022-10-10    ,content toolbars new folder correctly displayed ,0,bar,bar,bar
all toolbars are black when windows is moved on startup        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbars black window moved startup ,1,bar,"window, bar",bar
"two horizontal and vertical scrollbars are displayed in ""about:addons"" page when resizing the browser        ",Firefox,General        ,2022-10-11    ,two horizontal vertical scrollbars displayed aboutaddons page resizing browser ,0,"page, add, bar","bar, browser",bar
title bar is drawn incorrectly sometimes        ,Firefox,General        ,2022-10-10    ,title bar drawn incorrectly sometimes ,0,bar,bar,bar
browser when min to taskbar causing games to minimize as well.        ,Firefox,General        ,2022-10-10    ,browser min taskbar causing game minimize well ,0,bar,"bar, browser",bar
