summary,cluster_tag,clusters
firefox will not open the correct program for file type in kde        ,Functional Performance Bugs,2
"""save all messages to file"" in firefox console saves truncated messages        ",Functional Performance Bugs,2
"[macos] large* files fail to download (symptomsd resource_notify trigger (too many ""dirty bytes"" written))        ",Functional Performance Bugs,2
cannot drag & drop image file from /tmp/ to flatpak firefox        ,Functional Performance Bugs,2
firefox webaudioapi context cannot decode certain aac files (working fine using other browsers)        ,Functional Performance Bugs,2
firefox needlessly modifies logins.json/logins-backup.json files        ,Functional Performance Bugs,2
does not kill firefox process (when running from command prompt) after trying to load a incorrect (path) xul file        ,Functional Performance Bugs,2
download manager tweak add-on empty even when there are files being downloaded.        ,Functional Performance Bugs,2
"when downloading a file or saving a web page, put source url into ""notes"" (gnome) or ""summary"" (windows) of the saved files.        ",Functional Performance Bugs,2
firefox does not support run-time javascript file handling.        ,Functional Performance Bugs,2
firefox file://... opens the wrong file when there's a firefox running on a different machine        ,Functional Performance Bugs,2
installer should deploy settings to keep win7 native backup system from backing up cache files        ,Functional Performance Bugs,2
firefox esr is slow when using a proxy.pac file in an entreprise environment with proxy infrastructure        ,Functional Performance Bugs,2
maintenanceservice_installer.exe fails without notification when there is a %programfiles%\mozilla maintenance service file        ,Functional Performance Bugs,2
firefox in private browsing mode deletes downloaded files upon exit        ,Functional Performance Bugs,2
firefox does not use default file manager        ,Functional Performance Bugs,2
fail to open a downloaded pdf file on ubuntu        ,Functional Performance Bugs,2
firefox prevents deleting a folder if a pdf file has been opened from it.        ,Functional Performance Bugs,2
allow firefox to silently auto-update via command line without mar file        ,Functional Performance Bugs,2
build system should produce a better error message when building on a case-insensitive filesystem (fatal error: string.h: no such file or directory)        ,Functional Performance Bugs,2
firefox does not correctly detect application to open a (binary) file with in gnome        ,Functional Performance Bugs,2
"assertion: couldn't create child process.: 'error', file nsframeloader.cpp - solaris sparc issue        ",Functional Performance Bugs,2
"on ubuntu-based distro elementary os, open containing folder attempts to open the file explorer at pptx files instead of the downloads folder they are contained in.        ",Functional Performance Bugs,2
firefox 60.2.2esr freezes on locating download file folder        ,Functional Performance Bugs,2
solaris - undefined symbol epoll_wait first referenced in file libmio.rlib        ,Functional Performance Bugs,2
"firefox complains of not enough space if filesystem last saved to ran out of space, even if ""always asks you where to save files"" is set        ",Functional Performance Bugs,2
pdf viewer does not support relative links from local files (file://)        ,Functional Performance Bugs,2
"[clang, ppc64le] the bookmarks and history system will not be functional because one of firefox's files is in use by another application        ",Functional Performance Bugs,2
request denied downloading temporary files ( browser.download.improvements_to_download_panel set to false in combination with snap builds)        ,Functional Performance Bugs,2
"dynamically generated .csv file ends up as "".csv.xls"" in mozilla.  works fine in ie.        ",Functional Performance Bugs,2
"temporary file not removed when opened with ""default application""        ",Functional Performance Bugs,2
save url/location of saved document in file saved-urls.txt in same directory        ,Functional Performance Bugs,2
"""funny"" behavior when extension-manager haven't enough system-rights to manage all files - gecko needs an better system-error handling        ",Functional Performance Bugs,2
file icons not displayed in filepicker in firefox classic skin        ,Functional Performance Bugs,2
firefox should warn before displaying huge text files        ,Functional Performance Bugs,2
firefox german: mp3 file uploads via php fail.        ,Functional Performance Bugs,2
creating shortcuts for files        ,Functional Performance Bugs,2
error selecting application to open downloaded file        ,Functional Performance Bugs,2
[win32] cannot show files that have colons in the file name        ,Functional Performance Bugs,2
wrong helper app shown in pre-download window (because i changed the file type association)        ,Functional Performance Bugs,2
firefox startup error for incorrect file permissions: incorrect solution listed        ,Functional Performance Bugs,2
"firefox profiles in vmware host create multiple files ie bookmarks, cookies, prefs - etc        ",Functional Performance Bugs,2
show file location using custom command on unix-like os        ,Functional Performance Bugs,2
cannot open local file at named anchor from command line        ,Functional Performance Bugs,2
saving web pages with illegal/unwanted characters in the file name (replace/escape them) on linux        ,Functional Performance Bugs,2
"option to sort/order tabs (e.g. alphabetically, by open date, by file date)        ",Functional Performance Bugs,2
any download freeze firefox until a large amount of file is downloaded        ,Functional Performance Bugs,2
double download for saving files        ,Functional Performance Bugs,2
"*.dmg files download via firefox, and the program then attempts to open by launching quicktime.        ",Functional Performance Bugs,2
"""open file"" dialog shows .exe, .dll files etc        ",Functional Performance Bugs,2
"using gtk/gnome integration, file inputs cannot be filled from nautilus nor emptied        ",Functional Performance Bugs,2
browser remembers folder from last attached file on webmail        ,Functional Performance Bugs,2
selecting a bookmarked directory (linux places) while saving a file wipes the current filename        ,Functional Performance Bugs,2
firefox freeze system for 3-4 seconds when downloading any file with download manager.        ,Functional Performance Bugs,2
firefox does not check return value of close() when downloading a file        ,Functional Performance Bugs,2
saving a pdf file from firefox does not put the file in windows my recent documents list        ,Functional Performance Bugs,2
completion of a file download always causes firefox to freeze for a few seconds        ,Functional Performance Bugs,2
firefox fail to load local files with space in their filename/path        ,Functional Performance Bugs,2
access rights not set properly on files downloaded by firefox.        ,Functional Performance Bugs,2
run-mozilla.sh requests non-existent file mozilla-firefox-bin (renamed)        ,Functional Performance Bugs,2
hang when norton internet security blocks installation file which results in firefox not being able to save file        ,Functional Performance Bugs,2
no notification when closing firefox while downloading file        ,Functional Performance Bugs,2
firefox add empty line when open big txt file        ,Functional Performance Bugs,2
"support opening url files (.url, .desktop, .webloc) on all os's        ",Functional Performance Bugs,2
in case of non well formed xml output firefox denies to show the result or to save to a file.        ,Functional Performance Bugs,2
firefox hangs when saving file to a pipe        ,Functional Performance Bugs,2
"unrecoverable hang when shift-command-d is used in ""save file as"" dialog        ",Functional Performance Bugs,2
wrong file name passed to helper app        ,Functional Performance Bugs,2
'save page as' saves text files with wrapped lines with extra newline characters        ,Functional Performance Bugs,2
"add a drop-down list to the ""save file"" value        ",Functional Performance Bugs,2
downloaded files with firefox do not show the download-resource-information in the file-information (macosx)        ,Functional Performance Bugs,2
firefox leaves behind /tmp/*.special.part files every time a .special file is opened        ,Functional Performance Bugs,2
"save as ""all files"" doesn't        ",Functional Performance Bugs,2
firefox could contain a font viewer for standalone .otf and .ttf files it downloads        ,Functional Performance Bugs,2
double file entries in file dialog        ,Functional Performance Bugs,2
in an openfiledialog win/command + a is not selecting all the files in a folder in firefox        ,Functional Performance Bugs,2
"opening (file) dialog should offer a ""default desktop application"" checkbutton        ",Functional Performance Bugs,2
relative paths to local files with '#' characters not handled properly        ,Functional Performance Bugs,2
drag&drop links into file manager to download files        ,Functional Performance Bugs,2
dlink router- fails to access files (i.e. installing firmware and settings files)        ,Functional Performance Bugs,2
"""open what to do"" with (dot)do files.        ",Functional Performance Bugs,2
"when opening a file with an ampersand in it, anything after the ampersand is dropped when calling the program to do the opening.        ",Functional Performance Bugs,2
origin/access-control-allow-origin header does not allow remote domain access from local file:// resource        ,Functional Performance Bugs,2
file icons in firefox should have labels inside of them.        ,Functional Performance Bugs,2
"after redirect, server return text/html type page but browser reports that it's octet/stream and tries to save it as file        ",Functional Performance Bugs,2
"when ""ask me where to save files"" selected, the save window goes behind the firefox browser which can be annoying.        ",Functional Performance Bugs,2
there is no way to pass file encoding to external editor        ,Functional Performance Bugs,2
buttons unclickable with os file window open and a js alert in background        ,Functional Performance Bugs,2
provide an option to store files opened with helper applications in the downloads directory        ,Functional Performance Bugs,2
download dialog does not decode multibyte file name in ff3.5.7        ,Functional Performance Bugs,2
no option for file:\\\ * .<filetype> to open in program outside firefox if textual.        ,Functional Performance Bugs,2
download manager overwrites downloaded files when firefox is restarted after disk full error        ,Functional Performance Bugs,2
downloading or viewing .doc files results in an error.        ,Functional Performance Bugs,2
unable to change default program for 7z files        ,Functional Performance Bugs,2
"xml ""not well-formed"" error when loading a ooo calc file via file:// url in address field        ",Functional Performance Bugs,2
save file as request        ,Functional Performance Bugs,2
files downloaded by firefox are instantly deleted        ,Functional Performance Bugs,2
file upload dialog firing click event behind itself        ,Functional Performance Bugs,2
method to save a file to a directory the user doesn't have privileges for        ,Functional Performance Bugs,2
"for ms visio files with extension *.vsd the ""open with.."" option not available        ",Functional Performance Bugs,2
"you can't copy the file name in the ""you have chosen to open"" download dialog        ",Functional Performance Bugs,2
the window shown when download a file should have an option to specify a path different than the default        ,Functional Performance Bugs,2
option to open file/run file instead of just save file        ,Functional Performance Bugs,2
attachment file cannot be deleted from trash        ,Functional Performance Bugs,2
firefox should ask where to save files by default        ,Functional Performance Bugs,2
"while file downloads, would like site ""root"" to also show with progress        ",Functional Performance Bugs,2
the signons3.txt file in %appdata% folder does'nt get deleted after i remove the passwords using ui        ,Functional Performance Bugs,2
saving a many files with same name unconvinient        ,Functional Performance Bugs,2
tried 4 times to get 3.6.8. keep getting corrupt file error.        ,Functional Performance Bugs,2
firefox does not know it is the default browser after moving vista user files        ,Functional Performance Bugs,2
tools->options->applications tab winrar file options inconsistent.        ,Functional Performance Bugs,2
problem with selection of the downloaded files        ,Functional Performance Bugs,2
"media player should be default player for video files such as .mov, .mp4, .mpg        ",Functional Performance Bugs,2
browse file upload box should only show file name that is going to be uploaded        ,Functional Performance Bugs,2
"waitpid failed pid:31973 errno:10: file /builds/slave/tracemonkey-linux-nightly/build/ipc/chromium/src/base/process_util_posix.cc, line 237        ",Functional Performance Bugs,2
problem with downloading large files with firefox (for example ubuntu 10.10)        ,Functional Performance Bugs,2
.part files are not renamed safely        ,Functional Performance Bugs,2
firefox doesn't use the default file handler when opening downloaded files        ,Functional Performance Bugs,2
including javascript file causes problems with firefox4 video tag controls        ,Functional Performance Bugs,2
keep getting chucked out of mozilla3.0.1 every time i open a pps file        ,Functional Performance Bugs,2
file open/save dialogs open briefly and rapidly close        ,Functional Performance Bugs,2
opening file from localhost when update for addon installing        ,Functional Performance Bugs,2
default browser: local .html files open in firefox instead of my preferred editor        ,Functional Performance Bugs,2
does not set filesystem permissions correctly for directly opened files        ,Functional Performance Bugs,2
redirect local html file to https        ,Functional Performance Bugs,2
when uploading an pdf file this is not recognized as an pdf filetype        ,Functional Performance Bugs,2
the link to the nero essentials doesn't work but neither can i file a report using 'help' in firefox. i can't connect to the server.        ,Functional Performance Bugs,2
the licence file for this update could not be found...        ,Functional Performance Bugs,2
"general failure. the url was: ""http://www.someurl.com"" the system cannot find the file specified.        ",Functional Performance Bugs,2
"authentication dialog on url to file dismisses ""remember password"" window        ",Functional Performance Bugs,2
wmv video files have become invisible in firefox !        ,Functional Performance Bugs,2
page updating when opening locally saved html files = 15 second delay        ,Functional Performance Bugs,2
"upgrade from firefox 3.6 to firefox 4.0 would result ""illegal variable _files or _env or _get or _post or _cookie or _server or _session or globals passed to script.""        ",Functional Performance Bugs,2
open a group of links all at once from a text file        ,Functional Performance Bugs,2
intelligent suggestion mechanism for directory where i save my files        ,Functional Performance Bugs,2
"[win] remove the old file ""urlclassifier3.sqlite"" in roaming part of profile        ",Functional Performance Bugs,2
unable to open file in mozilla        ,Functional Performance Bugs,2
firefox does not read plist based webloc or webbookmark files on os x        ,Functional Performance Bugs,2
add downloaded files to recent documents on freedesktop platforms        ,Functional Performance Bugs,2
fault with file save dialog while extension downloading        ,Functional Performance Bugs,2
"close window option, though missing from file menu, is seen by extensions as not missing        ",Functional Performance Bugs,2
media_cache file delete required to correctly refresh page reload cache        ,Functional Performance Bugs,2
"browser hang when trying to press toolbar buttons (file, edit, view, etc)        ",Functional Performance Bugs,2
"mediafire.com  ""file upload failed due to a networks timeout""‏‏        ",Functional Performance Bugs,2
webworker does not detect js file changes after first use        ,Functional Performance Bugs,2
v7 link on desktop comes up with can't find file error        ,Functional Performance Bugs,2
download file by dragging and dropping to destination folder        ,Functional Performance Bugs,2
view source of selection : menu file : new window        ,Functional Performance Bugs,2
firefox 7.0.1 is unresponsive when browsing a local directory with many files.        ,Functional Performance Bugs,2
windows relative url file:/// on mac os: works on windows share but fails on local disk        ,Functional Performance Bugs,2
firefox 8 upload (html form) dont't work with file more than 481 kb        ,Functional Performance Bugs,2
"start using another profile than default, for specific file type/protocol        ",Functional Performance Bugs,2
html5 audio do not load ogg or wav file completely        ,Functional Performance Bugs,2
"html5 & js: double-clicking on <a> tag thumbnail makes 2 videos play at the same time, so pausing one leaves the other playing in the background (i have sent you a file)..        ",Functional Performance Bugs,2
xulrunner's temporary file creation results in long latency sometimes        ,Functional Performance Bugs,2
uploading a torrent file onto nas iomega storcenter ix2 not working        ,Functional Performance Bugs,2
dijit files are over-aggressively cached causing errors when a dijit-based webapp is upgraded        ,Functional Performance Bugs,2
cannot copy-paste files from download dialog on osx        ,Functional Performance Bugs,2
"""safe file..."" window unfocused when clicking on link and then hitting enter at save file/open        ",Functional Performance Bugs,2
choose in the download dialog if save the file in the standard download folder or somewhere else        ,Functional Performance Bugs,2
highlight name of downloaded file when opening download folder in file manager        ,Functional Performance Bugs,2
(win) firefox's file dialog isn't compatible with dialog helper utilities (eg. directfolders)        ,Functional Performance Bugs,2
firefox cannot open a certificate file on apache web server        ,Functional Performance Bugs,2
helper application not remembered and dialog box (file picker/chooser) cumbersome/inconvenient        ,Functional Performance Bugs,2
canceling file upload dialog box creates '/' as file to upload        ,Functional Performance Bugs,2
"microsoft vc++ assert on file save box ""new folder"" button        ",Functional Performance Bugs,2
"no question ""overwrite file"" when saving files, which are identical        ",Functional Performance Bugs,2
pulling a file to the address bar triggers security errors        ,Functional Performance Bugs,2
"file == ""remote xul"", firefox still registers as handling .xul even though support is disabled by default        ",Functional Performance Bugs,2
layout bug when file served via https and ff toolbar is visible        ,Functional Performance Bugs,2
ability to view epub files in firefox        ,Functional Performance Bugs,2
"if firefox 14 isn't running, opening an associated file (e.g. html) locally launches it twice in separate windows.        ",Functional Performance Bugs,2
"many reasons to eliminate the error message of the download manager  ""....could not be saved, because the source file could not be read""        ",Functional Performance Bugs,2
thunderbird on mac osx 10.7/10.8 can't create folders on smb dfs (microsoft distributed file system) shares        ,Functional Performance Bugs,2
file selection menu broken        ,Functional Performance Bugs,2
"when i upload the file with letter ""é"" in filename firefox converts this letter to ""&amp;eacute;""        ",Functional Performance Bugs,2
firefox sucks up memory if opening a humungo .xml file        ,Functional Performance Bugs,2
downloading file to a pendrive hangs fx now and then        ,Functional Performance Bugs,2
cannot download a file [application/octet-stream]        ,Functional Performance Bugs,2
adding an encrypted file synchronization feature to firefox        ,Functional Performance Bugs,2
firefox hangs while moving already downloaded part of the file to selected destination if it was just mounted on selection.        ,Functional Performance Bugs,2
if a filename contains a period before the extension (i.e. 10.xxxxxxx.pdf) firefox 10.0.10 does not recognize the file extension        ,Functional Performance Bugs,2
firefox fails to save pdf file with .pdf file extension depending on how configured        ,Functional Performance Bugs,2
firefox 20.0 file download may silently fail if browser.download.usedownloaddir = false        ,Functional Performance Bugs,2
show uri of files being downloaded        ,Functional Performance Bugs,2
file -> quit command from private window closes all firefox instances        ,Functional Performance Bugs,2
"files won't open when set to ""open with"" instead of saving, will open when double clicked from download library        ",Functional Performance Bugs,2
do not allow files which have custom build flags to be added to unified_sources        ,Functional Performance Bugs,2
"when firefox restarts after crash, it deletes active downloaded files, and starts to download them again, without user permission.        ",Functional Performance Bugs,2
wide characters wrongly rendered using their ascii equivalents in local file:///'s after long usage        ,Functional Performance Bugs,2
second vorbis file or stream has no audio output since firefox 26.0 without pulseaudio installed        ,Functional Performance Bugs,2
firefox for mac os x: drag & drop image saving produces empty files in some instances        ,Functional Performance Bugs,2
file > save page as... cannot replace loaded document source files        ,Functional Performance Bugs,2
external programs executed from file:// or mailto: open in background without focus        ,Functional Performance Bugs,2
browser.helperapps.neverask.savetodisk does not work for .pem file        ,Functional Performance Bugs,2
firefox freezes while windows is downloading a big file selected using file input        ,Functional Performance Bugs,2
firefox requesting css files multiple times        ,Functional Performance Bugs,2
reject moz.build files that specify both force_shared_libs and final_library        ,Functional Performance Bugs,2
open containing folder doesn't highlight/select file in dolphin (kde)        ,Functional Performance Bugs,2
firefox won't start because it can't write shared update files        ,Functional Performance Bugs,2
download manager: some files are not highlighted upon selection        ,Functional Performance Bugs,2
when saving a downloaded file  there are two problems...remembering and scrolling.        ,Functional Performance Bugs,2
firefox requests single file multiple times in one page        ,Functional Performance Bugs,2
window explorer is not opening in firefox for file://        ,Functional Performance Bugs,2
"ff33.0 will delete a saved webpage instead of overwriting changes, when loading from file with a long filename        ",Functional Performance Bugs,2
firefox does not remember the last directory when saving files        ,Functional Performance Bugs,2
context menu in downloads panel is lacking an option to copy the path to the downloaded file.        ,Functional Performance Bugs,2
"firefox esr  31.2.0 ""print to file"" produces 0 length files when /tmp full        ",Functional Performance Bugs,2
automatic content detection doesn't work for xml files with byte order mark (bom)        ,Functional Performance Bugs,2
size of downloaded file appears to be 17179869184 gb while actual file is corrupted        ,Functional Performance Bugs,2
open downloaded .po translation file in default app        ,Functional Performance Bugs,2
default profile file copy bug        ,Functional Performance Bugs,2
firefox does not add a file extension to the download property of an a frame when it should        ,Functional Performance Bugs,2
firefox is misbehaving by deleting downloaded files        ,Functional Performance Bugs,2
jpeg image without file extension is saved with jpe extension        ,Functional Performance Bugs,2
download panel not disappearing after drag&drop a file in ubuntu linux        ,Functional Performance Bugs,2
mozilla/dom/keyframeeffect.h(19) : fatal error c1083: cannot open include file: 'mozilla/dom/animationeffectreadonly.h': no such file or directory        ,Functional Performance Bugs,2
files with existing extension but wrong/generic content-type not handled well        ,Functional Performance Bugs,2
application/pdf files are saved in downloads when using a new profile and pdfjs is disabled        ,Functional Performance Bugs,2
"file inputs with accept="".tar.gz"" will not accept any files at all        ",Functional Performance Bugs,2
wrong mime type permanently associated with file extension        ,Functional Performance Bugs,2
"firefox won't download a .tgz.sig file, but wget works        ",Functional Performance Bugs,2
access to localstorage across file:// scheme depends on how open files        ,Functional Performance Bugs,2
"""clear downloads"" may delete .part files of active downloads        ",Functional Performance Bugs,2
firefox fails to update when there are files with too long names in firefox directory        ,Functional Performance Bugs,2
"restart firefox (with session restore) after it was killed while downloading file will overwrite file, instead continuing to download where it ended        ",Functional Performance Bugs,2
"new page ""about:blank"" opened while downloading some files (google chrome setup)        ",Functional Performance Bugs,2
icons for certain file types do not show under options > applications and in downloads library        ,Functional Performance Bugs,2
firefox shouldn't let server metadata dictate local file associations        ,Functional Performance Bugs,2
"firefox detects xml download as ""microsoft help attribute definition file"" on linux        ",Functional Performance Bugs,2
parsing error with big json files on firefox        ,Functional Performance Bugs,2
file libmozjs.so: required by ../../toolkit/library/libxul.so        ,Functional Performance Bugs,2
symlinked app bundle for use as profile launcher causes special paths to use symlink file path rather then actual file pointed to path. this breaks update mechanism of firefox        ,Functional Performance Bugs,2
firefox shows a separate pdf and portable document format option and refuses to open a pdf file        ,Functional Performance Bugs,2
session restore files misssing after running app        ,Functional Performance Bugs,2
"timestamp ""lastaccessed"" written too often to file ""recovery.js""        ",Functional Performance Bugs,2
provide an option in firefox to set unlimited size for sdd/ram/cpu cores cache for advance users(via configure file or performance ui section)        ,Functional Performance Bugs,2
firefox on linux crash file opening file browser        ,Functional Performance Bugs,2
customization configuration files (/etc/firefox)  are ignored (settings overwritten partially in /usr/lib/firefox/defaults/pref)        ,Functional Performance Bugs,2
"firefox and thunderbird destroy symlink for persdict.dat and other files, like symlink'ed profiles        ",Functional Performance Bugs,2
"allow associating firefox with those ""other"" file types which it supports - jpeg, png, gif, svg, pdf, bmp, etc.        ",Functional Performance Bugs,2
avoid displaying suggestion to file a bug report when sending eof to ./mach bootstrap        ,Functional Performance Bugs,2
firefox focus - content blocker renders image files incorrectly        ,Functional Performance Bugs,2
no such file or directory error: old-configure failed        ,Functional Performance Bugs,2
i am forced to kill firefox when windows’s open file dialog freezes        ,Functional Performance Bugs,2
runtime disclosure of origin of file type <-> application association        ,Functional Performance Bugs,2
"option to always save files instead of asking me whether to open them, regardless of file type        ",Functional Performance Bugs,2
headless --screenshot doesn't work with local files        ,Functional Performance Bugs,2
favicon displays error when attempting to use internal file for image        ,Functional Performance Bugs,2
the overflow menu in the address bar is hidden for local files        ,Functional Performance Bugs,2
add file support for network.trr.excluded-domains feature        ,Functional Performance Bugs,2
firefox download file names should show specific platform        ,Functional Performance Bugs,2
firefox is unable to save .ogg audio file        ,Functional Performance Bugs,2
the media tab in page info displays incorrect file sizes        ,Functional Performance Bugs,2
firefox snap unable to save pages as html file        ,Functional Performance Bugs,2
spidermonkey fails to compile with clang on armv7: build/dist/system_wrappers/type_traits:3:15: fatal error: 'type_traits' file not found        ,Functional Performance Bugs,2
user setting to disable navigating to a file dropped onto an active tab        ,Functional Performance Bugs,2
"when saving a file with a name that already exists, after hitting cancer have the focus switch to the filename        ",Functional Performance Bugs,2
[kde/flatpak] firefox doesn't open downloaded files in qt applications        ,Functional Performance Bugs,2
firefox 88-89 won't play webm files on 4chan. unknown mime type        ,Functional Performance Bugs,2
bookmarks are drained out of the individual folder structure to the main bookmarkfolder after restoring them from file or backup        ,Functional Performance Bugs,2
drag and drop files into firefox/google drive very slow on kubuntu wayland        ,Functional Performance Bugs,2
unable to extract text from spooled pdf files generated when a file is printed through firefox browser on mac        ,Functional Performance Bugs,2
firefox freezes when trying to search in gtk file picker        ,Functional Performance Bugs,2
firefox can't open files in flatpak programs on linux        ,Functional Performance Bugs,2
firefox doesn't open many downloaded files or other applications        ,Functional Performance Bugs,2
"firefox freezes saving files to folder containing lots of images with gtk_use_portal=1 set (linux, kde plasma 5)        ",Functional Performance Bugs,2
"firefox 99.0.1 installed as snap package in kubuntu 22.04 does not show ""where to save downloaded file"" dialog        ",Functional Performance Bugs,2
firefox snap 101.0.1-1 on ubuntu 22.04 (latest updates) does not download any files        ,Functional Performance Bugs,2
firefox misnames its desktop file entry in notifications        ,Functional Performance Bugs,2
"when saving a file to be downloaded, firefox changes the name erroneously        ",Functional Performance Bugs,2
"flatpak firefox does not remember its last used directory storage location in ""save"" file dialog        ",Functional Performance Bugs,2
firefox snap can't access /usr/share/ files        ,Functional Performance Bugs,2
all firefox windows unresponsive for 60s when starting file download        ,Functional Performance Bugs,2
firefox crashes when dragging a file on a website        ,Functional Performance Bugs,2
"firefox picks the ""nimbus sans"" font to substitute helvetica, despite user's edits to font config files to remove it as a helvetica substitute        ",Functional Performance Bugs,2
uploading (large) files to certain sites fails intermittently from firefox version 101 with trellix dlp hooks        ,Functional Performance Bugs,2
finished file download started again after ff 106.0.1 upgrade and restart        ,Functional Performance Bugs,2
"folders and files ""missing"" ie can't be seen in google drive but are searchable        ",Functional Performance Bugs,2
firefox as version 106.0.5 cannot download large files (approx >2 gb)        ,Functional Performance Bugs,2
access native messaging host with file write permissions        ,Functional Performance Bugs,2
"pdf doesn't prompt for location with ""always ask me where to save files"" checked        ",Functional Performance Bugs,2
disable some nss files in the firefox build        ,Functional Performance Bugs,2
firefox is not saving edits on a pdf file.        ,Functional Performance Bugs,2
"""more from mozilla"" svg files can be shrunk further, which should shrink downloadable installer size        ",Functional Performance Bugs,2
move style overrides from hardcoded layout to css files        ,Functional Performance Bugs,2
download dialog should display entire url to file (and be selectable)        ,Functional Performance Bugs,2
firefox file selector should show remote shares        ,Functional Performance Bugs,2
"""unable to process the backup file"" when importing bookmarks from json backup, but the bookmarks are imported correctly        ",Functional Performance Bugs,2
local file icon is intermittently flickering when loading https pages        ,Functional Performance Bugs,2
content area does not get focus after drag & drop a html file to about:newtab page from explorer        ,Functional Performance Bugs,2
"downloaded file extension unexpectedly changes to html when using ""open with"" and can execute code (based on content type sent by the server that doesn't match filename)        ",Functional Performance Bugs,2
[enhancement] consider automatically adding the protocol for urls that don’t have it when importing a csv file        ,Functional Performance Bugs,2
re-position blocked popup icon in the svg file        ,Functional Performance Bugs,2
[xfa] elements that should not be printed are shown in the printed file        ,Functional Performance Bugs,2
"(intermittent) ""always open similar files"" is shown as selected (extensions type not added)        ",Functional Performance Bugs,2
"""file"" type is added to applications on mac when setting a system default on open        ",Functional Performance Bugs,2
wrong extension-name of setting file when asus router setting saved        ,Functional Performance Bugs,2
permanent failure for successful windows browsertime and some other tasks filenotfounderror: [winerror 2] the system cannot find the file specified        ,Functional Performance Bugs,2
smooth out the publishing process for the remote fluent files        ,Functional Performance Bugs,2
improvement to save file dialog: folder based on url        ,Functional Performance Bugs,2
"unknown file type prompt doesn't go away after selecting ""save file..""        ",Functional Performance Bugs,2
[mac] html files saved without .html extension are viewed as plain text        ,Functional Performance Bugs,2
"file download not recognizing disk full [before downloading, on dismissing file picker]        ",Functional Performance Bugs,2
"[fix]linux file picker has an extra ""/"" at start of file path        ",Functional Performance Bugs,2
"set style ""direction: ltr"" to file and url paths in textbox        ",Functional Performance Bugs,2
[mac] dragging local files to bookmarks toolbar does not work        ,Functional Performance Bugs,2
don't offer to open non-linked text that looks like urls such as file names        ,Functional Performance Bugs,2
requesting to get the camera from a file:// url does not show any origin of where the request is being made        ,Functional Performance Bugs,2
download manager: provide a pre-warning if there is no enough disk space in the target location to complete an intended file download        ,Functional Performance Bugs,2
